location,guests,bedrooms,beds,bathrooms,wifi,parking,kitchen,pool,gym,fireplace,security,price_per_night
Coimbatore,4,4,1,3,0,0,0,1,0,0,0,10381
Chennai,7,3,3,2,0,0,0,1,1,0,0,11950
Lucknow,10,2,1,4,0,0,1,1,0,0,1,11647
Nagpur,6,5,1,1,0,1,0,0,1,0,1,10094
Mysore,10,1,3,4,1,1,0,0,0,1,0,9934
Jaipur,5,5,5,4,1,0,0,0,0,0,1,11137
Dehradun,9,3,5,1,0,1,0,0,0,1,1,9334
Chennai,2,3,4,4,1,1,0,0,0,0,1,9625
Lucknow,7,2,5,4,0,0,1,1,0,0,0,11279
Chennai,7,2,4,2,1,0,0,1,0,0,1,12237
Lucknow,6,1,5,4,1,0,1,0,1,0,1,10335
Hyderabad,7,1,2,3,0,0,1,1,0,0,0,11855
Hyderabad,8,2,3,2,0,1,0,0,1,1,1,11020
Bhopal,1,5,3,4,0,0,1,1,0,0,0,11841
Udaipur,3,1,1,1,1,0,0,0,0,0,0,4769
Chennai,9,1,4,1,0,1,1,0,1,0,0,10147
Lucknow,4,3,5,4,0,0,0,0,1,0,1,9999
Chandigarh,1,4,2,3,1,0,0,1,1,0,0,11464
Nagpur,3,3,2,2,1,0,0,0,1,0,0,8399
Shimla,10,4,2,4,1,1,0,1,0,1,0,13456
Mumbai,1,2,4,4,0,1,0,0,0,0,1,9601
Pune,5,4,3,2,1,1,0,0,1,0,0,11784
Varanasi,6,5,2,1,1,0,1,0,1,0,0,9179
Ahmedabad,10,3,6,1,0,0,1,0,1,0,1,13364
Dehradun,4,4,4,4,0,0,1,1,1,0,1,12271
Delhi,4,3,3,1,1,0,0,1,0,0,0,10418
Dehradun,4,1,4,4,1,1,1,0,0,0,1,7163
Bhopal,6,3,5,1,1,1,0,0,0,1,0,9837
Bangalore,5,5,6,3,1,0,1,0,0,1,1,14253
Agra,7,4,5,3,1,1,0,1,0,0,0,12294
Chennai,8,3,6,4,0,0,1,1,1,1,1,15802
Jodhpur,10,1,4,2,1,0,1,1,0,0,1,10303
Hyderabad,1,2,1,4,0,0,1,0,0,0,0,7339
Jaipur,7,5,2,2,1,0,0,1,0,0,0,10643
Kolkata,10,4,4,2,0,1,0,1,0,0,0,13959
Mysore,4,2,6,3,0,0,0,1,0,0,1,8336
Nagpur,3,5,5,1,1,1,0,0,1,0,0,10828
Jaipur,10,1,5,1,0,0,0,1,0,0,1,10238
Jaipur,4,2,6,4,0,0,0,0,0,0,0,8461
Varanasi,4,5,4,2,1,0,1,0,1,1,0,9370
Shimla,7,4,5,4,0,0,0,0,1,0,0,9807
Delhi,1,4,3,3,0,0,1,0,1,0,1,11623
Coimbatore,8,5,4,3,0,1,1,0,0,0,1,11109
Bhopal,7,5,2,2,0,1,0,1,1,1,1,13002
Hyderabad,1,5,5,3,1,0,1,1,0,1,0,13956
Shimla,2,2,1,3,0,1,0,0,1,1,1,7655
Nagpur,10,3,2,2,0,1,1,1,0,1,0,12306
Lucknow,2,5,1,4,1,1,0,0,0,1,1,10438
Bhopal,5,1,2,1,1,1,1,1,0,1,1,9532
Varanasi,1,3,2,2,1,0,0,0,0,0,1,5988
Ahmedabad,1,3,6,3,0,0,0,1,0,1,0,10829
Jaipur,10,2,4,4,1,0,1,1,0,0,1,13701
Lucknow,8,2,5,1,1,0,1,1,0,1,1,12664
Surat,9,1,1,3,0,1,1,1,0,0,0,10034
Mumbai,8,1,3,1,1,1,1,1,0,0,1,10911
Varanasi,6,5,5,2,0,0,1,0,1,1,1,12011
Agra,7,2,6,3,1,1,0,1,0,1,1,11700
Mysore,6,4,4,3,0,0,0,0,0,0,0,7612
Mumbai,7,1,5,4,1,1,0,0,1,0,1,12011
Lucknow,10,1,6,4,0,1,1,0,0,1,0,11318
Dehradun,10,2,6,2,0,0,1,0,0,0,1,9174
Mumbai,10,1,2,3,0,1,0,1,0,1,1,13734
Delhi,9,4,1,3,0,0,0,1,1,0,0,14237
Chennai,7,5,4,2,0,1,0,1,1,1,1,15335
Chandigarh,3,4,6,2,1,1,0,1,0,0,1,11710
Delhi,2,2,6,1,0,0,1,0,0,1,0,8006
Hyderabad,7,5,5,3,1,1,0,0,0,1,0,13152
Agra,2,3,1,1,0,0,0,0,1,0,0,5333
Indore,2,4,4,1,1,0,0,0,0,1,0,8753
Varanasi,1,1,2,2,0,1,1,1,1,0,1,8854
Surat,10,2,6,3,0,0,1,0,0,0,0,10128
Bhopal,7,2,1,4,0,0,1,1,0,1,0,11831
Bangalore,9,5,2,4,0,0,0,1,1,1,0,16583
Chennai,5,3,3,3,0,0,0,0,0,1,0,10332
Kolkata,9,4,6,3,1,1,1,1,1,0,1,15774
Chennai,9,4,4,4,1,1,0,0,1,1,1,15063
Jodhpur,10,3,5,3,1,1,0,1,0,1,0,12613
Mumbai,9,3,2,2,0,1,1,1,0,1,0,14066
Pune,9,4,1,2,0,1,1,0,1,0,0,13159
Varanasi,6,3,2,1,0,0,0,1,0,0,0,7355
Surat,2,3,5,1,1,0,0,0,1,1,1,8539
Mysore,7,3,1,4,0,0,0,0,1,1,0,10062
Jaipur,10,5,2,1,1,0,0,1,1,1,0,13962
Delhi,9,1,5,2,0,0,0,1,0,1,0,12377
Patna,1,5,5,1,1,1,1,1,0,0,0,11476
Udaipur,6,4,5,3,0,1,1,0,1,0,0,10335
Bhopal,9,2,3,4,0,1,1,0,1,1,1,12060
Mumbai,1,4,4,1,0,1,1,0,1,0,0,11046
Udaipur,5,4,2,2,1,1,1,0,0,0,0,7701
Chennai,2,3,3,4,1,1,0,1,1,1,0,12638
Udaipur,4,1,3,1,1,1,0,0,1,0,0,6080
Bangalore,1,3,3,1,1,1,0,1,1,0,1,10466
Varanasi,3,3,3,4,0,1,0,1,0,1,0,10714
Mumbai,7,5,3,1,0,1,0,0,0,0,0,10832
Bhopal,1,3,2,2,0,0,1,1,1,1,1,9963
Shimla,3,3,6,4,0,0,0,0,1,0,1,8285
Shimla,9,5,4,4,0,1,0,0,0,0,1,11309
Chandigarh,7,4,2,2,0,1,1,0,1,0,0,11134
Jaipur,1,3,4,4,0,1,0,0,0,0,0,7069
Pune,2,2,4,4,1,1,1,0,0,0,1,10459
Patna,8,2,6,2,1,0,0,0,1,0,0,9838
Mumbai,8,4,3,1,0,1,0,1,0,0,1,12024
Nagpur,7,5,6,4,0,1,0,0,0,1,1,12639
Dehradun,8,1,5,2,0,0,0,1,1,1,0,9856
Chennai,4,2,3,4,1,0,1,1,1,0,1,13185
Surat,1,4,4,1,1,1,0,0,0,1,0,7970
Ahmedabad,1,2,6,3,0,0,0,0,1,0,1,9978
Agra,6,1,4,2,0,1,0,0,1,0,0,6668
Lucknow,6,5,5,2,0,0,1,1,1,0,0,13781
Jodhpur,4,5,5,4,0,1,1,0,1,0,1,11353
Delhi,7,4,1,4,1,0,1,1,1,1,0,15032
Varanasi,1,5,3,3,1,0,1,0,0,0,1,8532
Agra,7,4,3,1,1,0,1,1,1,0,1,11534
Jaipur,1,5,1,4,1,1,0,1,1,0,0,11709
Agra,6,1,1,1,1,1,1,0,1,1,0,7120
Jaipur,10,2,3,4,0,1,1,0,1,0,0,11690
Pune,8,1,2,4,1,0,0,1,0,1,1,13671
Dehradun,3,1,2,4,1,1,0,0,1,1,0,8667
Raipur,8,5,4,1,1,0,0,1,1,1,1,11985
Mumbai,4,4,1,4,0,1,1,1,0,1,1,13571
Bangalore,4,5,4,4,0,1,0,1,0,0,1,13375
Kolkata,8,2,5,3,0,1,0,0,0,1,1,11738
Udaipur,4,3,3,3,0,0,0,0,0,1,1,8729
Raipur,1,2,6,1,1,0,1,1,1,0,1,9830
Indore,8,3,6,3,0,0,1,0,0,1,1,11376
Hyderabad,8,1,2,3,1,0,1,1,0,1,0,12875
Raipur,3,3,3,1,0,1,1,0,1,1,0,7991
Dehradun,4,2,6,1,0,0,0,0,1,1,0,8254
Lucknow,7,1,5,2,1,0,0,0,0,0,1,8820
Jaipur,2,4,1,2,1,0,0,1,1,1,1,11393
Ahmedabad,9,4,4,1,1,1,0,0,0,1,0,12909
Raipur,5,2,1,1,1,0,0,1,0,0,0,6493
Raipur,5,3,6,3,0,1,0,1,1,0,0,11657
Mysore,8,1,6,1,0,0,0,1,0,1,1,8957
Surat,8,3,5,3,1,1,1,0,1,0,1,11755
Lucknow,1,4,6,3,0,1,1,0,0,1,1,9232
Mysore,10,2,2,3,1,1,0,1,1,1,1,12827
Shimla,7,2,5,1,0,1,0,1,1,1,1,10281
Bhopal,9,4,3,4,0,0,1,1,1,0,1,15072
Shimla,3,1,3,4,1,0,1,0,1,1,0,7722
Lucknow,8,2,4,2,0,1,1,0,0,1,1,9553
Bangalore,6,1,3,3,1,1,0,0,1,0,1,10262
Delhi,1,2,2,1,1,1,1,0,0,0,1,8180
Pune,8,4,1,1,1,1,1,1,1,1,0,14759
Indore,4,5,2,4,1,1,0,0,1,0,0,11540
Bhopal,1,3,4,4,0,0,0,0,0,0,1,8979
Udaipur,5,5,5,4,0,0,0,0,1,0,1,10630
Patna,4,5,4,3,0,1,1,0,1,0,1,12307
Kolkata,1,5,1,2,1,1,1,1,1,0,1,12287
Pune,3,2,2,3,0,0,0,1,1,0,1,12456
Chennai,10,4,4,4,1,1,1,0,0,1,0,14474
Jaipur,10,5,5,2,0,0,0,0,0,1,1,11951
Chandigarh,8,4,4,4,0,0,1,0,0,0,1,11640
Mysore,2,2,6,4,0,0,1,0,1,1,1,9781
Agra,10,5,6,3,1,0,1,1,0,1,1,14700
Udaipur,3,1,6,4,0,0,0,0,1,0,1,7959
Udaipur,8,3,1,4,1,0,1,0,1,0,0,9827
Ahmedabad,5,2,5,1,0,0,1,1,0,0,1,11199
Patna,7,1,5,2,1,0,0,1,0,0,1,9394
Jodhpur,2,1,1,2,0,0,0,0,1,1,1,5705
Kolkata,10,2,4,2,1,0,0,0,0,1,1,11369
Patna,6,4,2,2,0,1,1,0,0,0,1,8814
Udaipur,10,5,6,1,1,0,0,0,1,1,0,11383
Delhi,10,1,4,4,1,1,1,0,0,1,1,13537
Mysore,2,2,4,3,1,1,0,1,1,1,1,11518
Dehradun,10,5,5,4,1,1,1,0,0,1,1,12998
Agra,6,1,3,1,1,0,0,0,1,0,0,7172
Nagpur,3,2,2,2,0,1,0,0,0,0,1,7430
Lucknow,8,4,6,2,1,0,0,1,1,0,0,13146
Udaipur,2,2,3,2,0,1,1,0,0,0,0,6599
Dehradun,5,5,2,3,0,0,1,1,1,0,1,11247
Jaipur,2,5,2,2,0,0,0,1,0,1,0,10712
Shimla,9,4,4,2,1,1,0,1,0,0,0,11421
Coimbatore,7,5,1,4,1,1,1,1,0,0,0,12113
Chennai,10,4,5,4,1,0,0,0,1,1,1,15902
Dehradun,7,2,2,2,0,1,0,1,1,0,1,10847
Jodhpur,1,2,4,2,1,0,1,1,1,0,1,9612
Lucknow,9,5,3,3,1,1,1,0,0,0,0,11928
Nagpur,10,2,5,1,0,0,0,0,0,0,1,8362
Patna,10,5,5,3,0,1,1,0,1,0,1,13086
Indore,6,3,5,3,0,1,1,1,1,1,1,12918
Dehradun,2,5,3,1,1,0,1,0,0,1,1,7960
Surat,8,4,3,3,0,1,1,1,1,1,1,15507
Bangalore,4,3,3,2,0,0,1,0,1,1,1,10629
Varanasi,4,4,3,2,0,0,0,1,0,1,0,10546
Indore,2,4,6,4,1,0,1,1,0,0,0,11138
Ahmedabad,10,3,6,4,1,1,0,1,1,0,1,15603
Dehradun,9,3,4,1,0,0,0,1,1,1,0,11493
Shimla,2,3,2,3,0,1,0,1,1,0,0,9783
Mysore,4,3,1,4,1,0,1,1,0,1,1,11310
Udaipur,8,3,1,2,0,0,0,1,1,0,1,9389
Jodhpur,10,3,5,4,1,0,0,0,0,1,1,11720
Surat,9,1,3,4,1,1,0,0,1,0,1,9922
Pune,10,2,6,1,1,0,1,0,1,1,0,12702
Jodhpur,6,5,6,1,0,0,1,1,0,1,0,11118
Dehradun,6,4,6,2,0,1,1,0,0,0,0,9343
Coimbatore,3,3,4,4,1,0,0,0,1,0,1,10281
Kolkata,10,2,2,2,1,1,1,0,1,1,1,12797
Pune,5,3,3,3,1,1,0,1,1,1,1,14702
Jaipur,5,3,1,2,0,1,0,1,0,1,0,9872
Kolkata,1,3,5,3,0,0,0,0,1,0,0,9608
Nagpur,4,2,2,1,1,1,0,1,1,1,1,10375
Surat,9,1,3,3,0,0,1,0,1,0,1,10596
Raipur,10,3,4,3,1,1,0,0,0,1,0,11042
Coimbatore,6,5,2,3,0,0,0,1,1,1,1,12676
Shimla,5,3,3,1,0,1,1,0,1,0,0,8276
Ahmedabad,7,3,6,2,0,1,1,0,0,1,0,11339
Coimbatore,1,3,1,2,1,1,0,1,1,0,0,8835
Chandigarh,6,1,4,1,0,1,1,1,1,0,0,9537
Ahmedabad,1,3,4,4,0,0,1,1,0,0,1,12711
Lucknow,6,4,1,3,0,0,1,0,1,0,0,10892
Varanasi,10,3,2,1,0,0,1,1,1,1,1,11979
Jodhpur,5,4,6,4,1,0,0,1,1,1,1,13105
Patna,10,4,1,2,0,0,1,0,0,0,1,9685
Chandigarh,7,4,5,1,0,1,1,1,0,0,0,12591
Shimla,2,1,4,1,0,1,1,1,1,0,1,7689
Patna,6,1,4,1,1,0,1,1,0,0,0,9796
Patna,2,3,5,2,0,1,0,1,1,0,1,11783
Chennai,4,5,2,2,1,1,0,0,0,1,0,11961
Agra,6,4,2,4,1,0,1,1,0,1,1,11446
Chennai,3,1,1,2,1,1,0,1,1,0,1,10285
Udaipur,7,4,4,2,1,1,1,1,0,0,1,11093
Ahmedabad,7,4,2,3,0,0,0,1,1,1,0,13921
Varanasi,2,2,2,2,0,0,1,0,0,1,1,6894
Indore,4,3,6,4,0,0,1,0,1,0,0,9815
Hyderabad,9,2,4,1,0,1,1,1,0,0,1,12893
Lucknow,7,4,6,1,1,1,1,0,0,1,0,11279
Bhopal,1,4,1,2,1,0,0,0,1,1,0,7874
Varanasi,9,5,2,3,0,1,0,1,0,1,0,13236
Bhopal,6,5,5,2,0,1,0,0,1,1,1,12783
Varanasi,9,3,3,3,1,0,1,0,1,1,1,11392
Bhopal,2,4,2,3,0,1,0,0,0,1,1,8672
Jodhpur,9,4,4,1,1,0,0,0,1,0,1,9289
Delhi,10,1,5,1,0,0,0,0,1,1,1,11953
Patna,4,1,6,3,0,0,0,1,0,0,1,10408
Dehradun,2,3,2,1,0,1,0,1,1,0,1,9072
Varanasi,6,4,6,1,1,1,1,1,0,0,1,11695
Varanasi,5,4,5,2,0,0,1,0,0,0,0,7448
Varanasi,1,1,1,1,0,0,1,1,0,1,0,7213
Raipur,2,3,4,2,0,1,0,0,0,0,1,7483
Pune,7,4,3,4,1,1,1,0,0,1,0,12529
Coimbatore,6,5,4,3,1,1,1,0,0,1,0,12205
Chandigarh,7,1,6,3,0,0,1,0,1,0,1,10706
Nagpur,8,5,5,3,0,1,1,0,0,1,0,11590
Pune,3,2,1,2,0,1,0,0,0,1,0,8005
Chandigarh,2,3,4,4,0,1,1,0,0,0,0,9361
Bangalore,4,4,1,2,1,0,0,1,1,0,0,11326
Chennai,4,5,4,3,0,0,1,1,1,0,1,13725
Shimla,1,1,3,3,0,0,0,1,0,0,1,7271
Surat,8,5,2,2,1,0,0,1,0,1,1,11973
Jaipur,4,3,5,2,0,1,1,1,1,1,0,11947
Coimbatore,10,2,4,2,1,1,0,1,0,1,0,13044
Hyderabad,7,3,5,4,0,1,0,0,0,0,1,11967
Hyderabad,2,4,1,4,1,1,1,1,0,1,0,13757
Surat,9,2,2,4,0,0,1,0,0,0,1,10161
Mumbai,4,2,4,4,1,1,0,1,0,1,0,12266
Surat,6,1,1,3,0,1,1,1,1,0,1,10543
Chandigarh,10,5,6,4,0,1,1,0,0,1,1,14539
Nagpur,3,3,2,2,0,1,1,1,1,1,1,10985
Jaipur,1,1,5,4,1,0,1,0,0,1,1,7629
Bhopal,4,4,6,2,0,0,0,0,1,1,0,10958
Hyderabad,1,3,4,2,0,1,1,0,1,0,0,10644
Dehradun,1,5,6,1,1,1,0,0,0,0,1,8189
Lucknow,8,5,2,1,1,1,0,0,0,0,0,9546
Mysore,6,3,4,3,0,1,0,0,1,1,1,10126
Delhi,9,1,2,1,1,1,0,1,0,0,0,11295
Raipur,9,4,5,4,1,0,0,0,0,1,1,10528
Kolkata,4,5,6,3,1,0,1,0,1,1,1,13150
Chandigarh,9,3,5,3,0,0,0,1,1,1,0,14135
Udaipur,8,3,1,3,0,0,0,0,1,1,0,9164
Bhopal,4,4,1,3,0,0,1,1,1,0,0,10783
Kolkata,2,1,6,4,1,0,1,1,0,0,0,11645
Surat,3,4,4,3,0,1,0,1,1,1,0,11577
Udaipur,5,5,5,1,1,1,0,0,0,1,1,9831
Shimla,1,4,6,1,1,0,0,0,1,0,0,6564
Hyderabad,9,2,2,1,1,0,0,0,0,1,1,10832
Mysore,10,1,5,4,0,0,0,0,1,0,0,9620
Mumbai,2,5,4,3,1,1,1,0,1,0,0,12587
Mysore,7,3,6,4,1,1,0,0,0,1,1,11347
Agra,7,3,4,3,1,0,1,1,0,0,1,11226
Patna,2,3,1,3,0,0,0,1,0,1,0,10032
Coimbatore,7,3,6,4,0,0,1,0,1,0,1,10834
Chandigarh,6,2,2,3,0,0,0,0,1,0,0,9344
Ahmedabad,3,1,4,3,0,0,1,0,0,0,0,7636
Lucknow,7,5,6,2,1,0,1,0,1,1,0,12204
Raipur,8,1,5,4,1,0,1,0,0,1,0,9157
Shimla,4,4,4,4,0,1,0,1,0,0,0,11308
Agra,8,1,1,4,1,0,0,1,0,1,0,9110
Pune,8,5,3,1,1,1,1,0,0,0,0,11769
Jodhpur,10,1,4,3,0,1,1,1,0,1,1,12574
Pune,6,4,5,3,1,1,1,0,1,1,1,15035
Mysore,1,2,3,4,1,1,0,0,1,1,0,7539
Udaipur,2,4,1,3,1,1,1,1,1,1,0,11744
Bhopal,8,2,3,2,0,1,1,1,1,1,0,12359
Jodhpur,2,4,6,4,1,1,1,1,0,1,0,12491
Hyderabad,5,2,5,2,0,1,0,1,0,0,1,12385
Udaipur,10,5,5,3,1,0,0,0,0,0,1,10377
Lucknow,9,3,5,2,1,1,1,1,0,0,0,12885
Raipur,8,1,4,3,0,1,1,0,0,1,0,9369
Raipur,10,5,4,1,1,0,0,0,1,0,1,11550
Delhi,7,5,3,1,0,0,1,1,0,1,0,13815
Bhopal,4,3,3,2,1,1,0,0,0,1,1,9444
Mysore,4,5,1,4,1,1,0,1,1,1,1,12532
Shimla,4,1,6,3,0,1,1,1,0,1,1,10380
Nagpur,10,3,4,3,0,0,1,1,1,0,0,12479
Shimla,9,3,3,2,0,1,1,1,0,0,1,11109
Shimla,9,4,4,2,1,0,1,1,1,0,0,11603
Pune,5,2,3,4,1,0,1,1,1,1,1,14718
Pune,8,3,2,1,1,0,0,0,0,0,0,9699
Chandigarh,8,1,6,3,1,1,0,1,0,1,0,12121
Mysore,7,4,4,4,0,1,1,0,1,1,1,12658
Indore,1,2,5,1,0,1,1,0,1,0,0,7099
Udaipur,6,5,1,3,0,1,1,1,1,1,1,12109
Chennai,1,3,3,4,1,1,1,1,1,0,1,12556
Ahmedabad,1,2,2,2,0,0,0,1,1,1,0,11662
Mysore,4,1,6,2,0,1,1,1,0,0,1,8547
Mysore,2,2,3,2,0,1,0,1,1,0,0,8407
Udaipur,7,3,3,2,0,0,0,1,1,0,0,11053
Ahmedabad,2,3,1,1,0,0,1,1,0,0,0,9656
Udaipur,4,3,3,1,0,0,0,1,0,1,0,7760
Patna,7,1,2,4,1,1,1,1,1,1,1,12901
Patna,4,5,1,1,0,0,1,1,1,1,1,11622
Jaipur,6,2,5,3,1,1,1,1,1,0,0,11690
Shimla,8,1,2,2,1,1,0,1,0,1,0,9389
Kolkata,9,1,4,3,1,1,1,1,1,1,0,14096
Agra,3,1,6,1,1,0,0,1,1,0,0,7589
Hyderabad,8,2,3,3,0,0,1,0,0,0,1,9830
Indore,3,2,2,1,0,0,1,0,1,0,1,7466
Surat,6,3,3,1,0,1,0,1,0,1,0,11214
Raipur,4,2,3,3,0,0,1,1,1,1,1,10563
Dehradun,5,1,3,1,0,1,0,1,1,1,1,10101
Chandigarh,5,5,1,3,1,1,0,0,1,0,0,9956
Mumbai,9,5,1,3,0,0,1,0,0,0,1,11540
Delhi,4,3,6,2,1,1,0,0,1,1,0,11809
Chennai,3,5,5,2,0,1,0,1,0,1,0,13412
Chennai,9,3,1,3,0,1,0,0,0,1,0,11626
Agra,9,5,1,2,1,0,1,1,0,0,1,12488
Bangalore,5,2,3,3,0,1,1,0,0,1,0,10759
Nagpur,8,4,5,3,0,1,1,0,1,1,1,13252
Bhopal,8,2,5,3,1,1,1,0,0,1,1,10917
Mysore,2,5,3,3,1,1,1,1,0,0,0,10669
Lucknow,5,1,1,1,1,0,0,1,1,0,1,8492
Bhopal,6,1,5,1,0,1,0,0,0,1,1,8492
Surat,10,3,2,3,0,1,0,0,1,0,0,9944
Nagpur,10,5,3,1,1,1,0,0,0,0,0,9929
Agra,5,2,1,3,0,0,0,1,1,1,0,9346
Jaipur,10,1,3,2,0,1,0,1,1,1,1,11773
Agra,1,3,6,3,0,1,1,0,1,1,0,8782
Mysore,4,2,1,1,0,0,1,0,0,0,0,4157
Raipur,10,2,3,2,1,0,1,0,0,0,1,8237
Chennai,10,5,3,2,1,0,0,0,1,0,1,14349
Indore,6,3,5,2,0,0,0,0,0,1,0,8938
Lucknow,6,5,1,3,1,1,0,1,1,0,1,12542
Udaipur,5,2,2,2,0,0,1,1,0,0,1,7930
Jaipur,1,2,3,4,1,1,1,1,1,1,0,12324
Udaipur,9,5,6,2,1,0,1,1,1,0,0,14193
Udaipur,6,4,5,3,0,1,1,0,1,1,0,10763
Varanasi,6,3,1,4,1,0,0,1,1,1,1,11704
Bangalore,2,4,3,4,0,1,0,1,0,1,1,13408
Jaipur,8,1,5,1,0,1,1,0,0,1,1,8530
Jodhpur,9,2,1,2,1,1,1,0,1,1,1,9833
Patna,2,4,2,4,1,0,1,1,0,0,0,9940
Delhi,9,5,4,4,1,1,1,0,0,1,1,14420
Dehradun,7,1,4,1,1,0,0,1,1,0,0,9913
Varanasi,6,1,1,1,1,0,1,0,1,1,0,7377
Udaipur,10,4,1,1,1,0,0,1,0,1,1,10573
Dehradun,5,2,4,1,0,0,0,0,1,0,0,7011
Bangalore,2,5,4,2,1,0,0,0,0,1,1,11907
Kolkata,7,3,5,1,0,0,1,0,1,1,1,12264
Lucknow,8,1,1,1,1,0,0,1,1,1,1,10993
Udaipur,8,1,6,1,1,1,0,0,0,1,1,8734
Chandigarh,7,1,6,2,0,0,0,1,1,0,1,11447
Bhopal,5,5,2,2,1,0,0,1,1,0,0,12443
Patna,5,1,5,2,1,0,0,1,1,1,0,11383
Indore,4,2,3,2,1,0,1,1,1,0,1,11748
Udaipur,10,5,2,3,1,1,0,0,0,1,0,11499
Ahmedabad,7,4,3,2,0,1,0,0,0,0,0,10061
Ahmedabad,2,2,2,4,0,0,0,1,0,0,0,11192
Mysore,9,5,3,4,0,1,0,0,1,1,0,13020
Dehradun,3,5,4,1,1,1,0,1,0,0,1,9850
Jodhpur,4,2,4,1,1,0,0,1,1,1,0,8508
Bhopal,4,3,5,1,0,1,1,1,0,1,1,12232
Ahmedabad,9,4,6,1,0,1,0,0,0,1,0,12019
Chandigarh,9,3,4,2,0,0,1,1,1,1,1,13138
